EntryDate,ExitDate,EntryPrice,ExitPrice,EntryCommission,ExitCommission,EntryTax,ExitTax,TotalCost,HoldingPeriod,Net,Ret,MaxPriceBetweeenHolding,MaxRetBetweeenHolding,MinPriceBetweeenHolding,MinRetBetweeenHolding,SignalBandwith
2004-07-09,2004-07-20,21.7,20.3,31,29,0,61,121,11,-1521,-0.0701,21.7,0.0,20.3,-0.0645,0.23008794013242384
2004-09-23,2004-10-27,19.2,18.1,27,26,0,54,107,34,-1207,-0.0629,19.2,0.0,18.1,-0.0573,0.100901519212095
2005-08-16,2005-09-02,19.5,20.35,28,29,0,61,118,17,732,0.0375,20.8,0.0667,19.5,0.0,0.22888502665842414
2005-10-27,2005-10-31,18.8,18.8,27,27,0,56,110,4,-110,-0.0059,18.8,0.0,18.6,-0.0106,0.11729263375635934
2007-05-11,2007-06-22,31.3,34.25,45,49,0,103,197,42,2753,0.088,34.6,0.1054,31.3,0.0,0.1417506286900887
2008-05-15,2008-05-29,31.9,30.05,45,43,0,90,178,14,-2028,-0.0636,31.9,0.0,30.2,-0.0533,0.17435898015774343
2009-01-07,2009-01-09,9.8,9.42,20,20,0,28,68,2,-448,-0.0457,9.8,0.0,9.46,-0.0347,0.12347800271978948
2010-02-01,2010-02-06,24.55,22.7,35,32,0,68,135,5,-1985,-0.0809,24.55,0.0,22.5,-0.0835,0.26560936285108805
2011-02-17,2011-02-23,30.2,29.4,43,42,0,88,173,6,-973,-0.0322,30.3,0.0033,29.3,-0.0298,0.08829304507761004
2013-11-07,2013-12-05,39.8,39.15,57,56,0,117,230,28,-880,-0.0221,41.0,0.0302,39.55,-0.0063,0.1884742955384784
2014-08-27,2014-09-11,39.1,37.85,56,54,0,114,224,15,-1474,-0.0377,39.1,0.0,37.55,-0.0396,0.08623537236863221
2015-07-14,2015-07-22,73.3,63.3,104,90,0,190,384,8,-10384,-0.1417,73.3,0.0,62.7,-0.1446,0.43047418786681946
2016-05-24,2016-06-07,93.0,90.5,133,129,0,272,534,14,-3034,-0.0326,93.0,0.0,89.0,-0.043,0.13578266129839456
2016-11-08,2016-11-10,103.0,98.1,147,140,0,294,581,2,-5481,-0.0532,103.0,0.0,92.7,-0.1,0.17423682509408311
2016-12-29,2017-01-10,94.5,94.5,135,135,0,284,554,12,-554,-0.0059,96.1,0.0169,94.5,0.0,0.10093988296453538
2017-10-20,2017-10-24,129.5,123.5,185,176,0,370,731,4,-6731,-0.052,129.5,0.0,123.0,-0.0502,0.14422540021716657
2019-03-12,2019-03-19,68.2,70.3,97,100,0,211,408,7,1692,0.0248,71.5,0.0484,68.2,0.0,0.08656395946893247
2021-09-06,2021-09-16,87.0,86.3,124,123,0,259,506,10,-1206,-0.0139,88.6,0.0184,86.8,-0.0023,0.15995464249975644
