Contract,C/P,TTM,Strike,OI,Volume,Liquitity
CAO,買權,202208,50.0,0,0,nan
CAO,買權,202208,52.5,0,0,nan
CAO,買權,202208,55.0,0,0,nan
CAO,買權,202208,57.5,0,0,nan
CAO,買權,202208,60.0,0,0,nan
CAO,買權,202208,62.5,0,0,nan
CAO,買權,202208,65.0,0,0,nan
CAO,買權,202208,67.5,0,0,nan
CAO,買權,202208,70.0,0,0,nan
CAO,買權,202208,72.5,0,0,nan
CAO,買權,202208,75.0,0,0,nan
CAO,買權,202208,77.5,0,0,nan
CAO,買權,202208,80.0,0,0,nan
CAO,買權,202208,82.5,0,0,nan
CAO,買權,202208,85.0,0,0,nan
CAO,賣權,202208,50.0,0,0,nan
CAO,賣權,202208,52.5,0,0,nan
CAO,賣權,202208,55.0,0,0,nan
CAO,賣權,202208,57.5,0,0,nan
CAO,賣權,202208,60.0,0,0,nan
CAO,賣權,202208,62.5,0,0,nan
CAO,賣權,202208,65.0,0,0,nan
CAO,賣權,202208,67.5,0,0,nan
CAO,賣權,202208,70.0,0,0,nan
CAO,賣權,202208,72.5,0,0,nan
CAO,賣權,202208,75.0,0,0,nan
CAO,賣權,202208,77.5,0,0,nan
CAO,賣權,202208,80.0,0,0,nan
CAO,賣權,202208,82.5,0,0,nan
CAO,賣權,202208,85.0,0,0,nan
CAO,買權,202209,50.0,0,0,nan
CAO,買權,202209,52.5,0,0,nan
CAO,買權,202209,55.0,0,0,nan
CAO,買權,202209,57.5,0,0,nan
CAO,買權,202209,60.0,0,0,nan
CAO,買權,202209,62.5,0,0,nan
CAO,買權,202209,65.0,0,0,nan
CAO,買權,202209,67.5,0,0,nan
CAO,買權,202209,70.0,0,0,nan
CAO,買權,202209,72.5,0,0,nan
CAO,買權,202209,75.0,0,0,nan
CAO,買權,202209,77.5,0,0,nan
CAO,買權,202209,80.0,0,0,nan
CAO,買權,202209,85.0,0,0,nan
CAO,賣權,202209,50.0,0,0,nan
CAO,賣權,202209,52.5,0,0,nan
CAO,賣權,202209,55.0,0,0,nan
CAO,賣權,202209,57.5,0,0,nan
CAO,賣權,202209,60.0,0,0,nan
CAO,賣權,202209,62.5,0,0,nan
CAO,賣權,202209,65.0,0,0,nan
CAO,賣權,202209,67.5,0,0,nan
CAO,賣權,202209,70.0,0,0,nan
CAO,賣權,202209,72.5,0,0,nan
CAO,賣權,202209,75.0,0,0,nan
CAO,賣權,202209,77.5,0,0,nan
CAO,賣權,202209,80.0,0,0,nan
CAO,賣權,202209,85.0,0,0,nan
CAO,買權,202212,50.0,0,0,nan
CAO,買權,202212,55.0,0,0,nan
CAO,買權,202212,60.0,0,0,nan
CAO,買權,202212,65.0,0,0,nan
CAO,買權,202212,70.0,0,0,nan
CAO,買權,202212,75.0,0,0,nan
CAO,買權,202212,80.0,0,0,nan
CAO,賣權,202212,50.0,0,0,nan
CAO,賣權,202212,55.0,0,0,nan
CAO,賣權,202212,60.0,0,0,nan
CAO,賣權,202212,65.0,0,0,nan
CAO,賣權,202212,70.0,0,0,nan
CAO,賣權,202212,75.0,0,0,nan
CAO,賣權,202212,80.0,0,0,nan
CBO,買權,202208,23.0,0,0,nan
CBO,買權,202208,23.5,0,0,nan
CBO,買權,202208,24.0,0,0,nan
CBO,買權,202208,24.5,0,0,nan
CBO,買權,202208,25.0,0,0,nan
CBO,買權,202208,26.0,0,0,nan
CBO,買權,202208,27.0,0,0,nan
CBO,買權,202208,28.0,0,0,nan
CBO,買權,202208,29.0,0,0,nan
CBO,買權,202208,30.0,0,0,nan
CBO,買權,202208,31.0,0,0,nan
CBO,買權,202208,32.0,0,0,nan
CBO,買權,202208,33.0,0,0,nan
CBO,賣權,202208,23.0,0,0,nan
CBO,賣權,202208,23.5,0,0,nan
CBO,賣權,202208,24.0,0,0,nan
CBO,賣權,202208,24.5,0,0,nan
CBO,賣權,202208,25.0,0,0,nan
CBO,賣權,202208,26.0,0,0,nan
CBO,賣權,202208,27.0,0,0,nan
CBO,賣權,202208,28.0,0,0,nan
CBO,賣權,202208,29.0,0,0,nan
CBO,賣權,202208,30.0,0,0,nan
CBO,賣權,202208,31.0,0,0,nan
CBO,賣權,202208,32.0,0,0,nan
CBO,賣權,202208,33.0,0,0,nan
CBO,買權,202209,23.0,0,0,nan
CBO,買權,202209,23.5,0,0,nan
CBO,買權,202209,24.0,0,0,nan
CBO,買權,202209,24.5,0,0,nan
CBO,買權,202209,25.0,0,0,nan
CBO,買權,202209,26.0,0,0,nan
CBO,買權,202209,27.0,0,0,nan
CBO,買權,202209,28.0,0,0,nan
CBO,買權,202209,29.0,0,0,nan
CBO,買權,202209,30.0,0,0,nan
CBO,買權,202209,31.0,0,0,nan
CBO,買權,202209,32.0,0,0,nan
CBO,買權,202209,33.0,0,0,nan
CBO,賣權,202209,23.0,0,0,nan
CBO,賣權,202209,23.5,0,0,nan
CBO,賣權,202209,24.0,0,0,nan
CBO,賣權,202209,24.5,0,0,nan
CBO,賣權,202209,25.0,0,0,nan
CBO,賣權,202209,26.0,0,0,nan
CBO,賣權,202209,27.0,0,0,nan
CBO,賣權,202209,28.0,0,0,nan
CBO,賣權,202209,29.0,0,0,nan
CBO,賣權,202209,30.0,0,0,nan
CBO,賣權,202209,31.0,0,0,nan
CBO,賣權,202209,32.0,0,0,nan
CBO,賣權,202209,33.0,0,0,nan
CBO,買權,202212,23.0,0,0,nan
CBO,買權,202212,24.0,0,0,nan
CBO,買權,202212,25.0,0,0,nan
CBO,買權,202212,26.0,0,0,nan
CBO,買權,202212,28.0,0,0,nan
CBO,買權,202212,30.0,0,0,nan
CBO,買權,202212,32.0,0,0,nan
CBO,買權,202212,34.0,0,0,nan
CBO,賣權,202212,23.0,0,0,nan
CBO,賣權,202212,24.0,0,0,nan
CBO,賣權,202212,25.0,0,0,nan
CBO,賣權,202212,26.0,0,0,nan
CBO,賣權,202212,28.0,0,0,nan
CBO,賣權,202212,30.0,0,0,nan
CBO,賣權,202212,32.0,0,0,nan
CBO,賣權,202212,34.0,0,0,nan
CCA,買權,202208,57.5,4,0,9999.99
CCA,賣權,202208,50.0,10,0,9999.99
CCO,買權,202208,31.0,0,0,nan
CCO,買權,202208,32.0,0,0,nan
CCO,買權,202208,33.0,0,0,nan
CCO,買權,202208,34.0,0,0,nan
CCO,買權,202208,35.0,0,0,nan
CCO,買權,202208,36.0,0,0,nan
CCO,買權,202208,37.0,0,0,nan
CCO,買權,202208,38.0,0,0,nan
CCO,買權,202208,39.0,2,0,9999.99
CCO,買權,202208,40.0,14,1,14.0
CCO,買權,202208,41.0,18,1,18.0
CCO,買權,202208,42.0,4,0,9999.99
CCO,買權,202208,43.0,22,2,11.0
CCO,買權,202208,44.0,36,4,9.0
CCO,買權,202208,45.0,60,1,60.0
CCO,買權,202208,46.0,16,1,16.0
CCO,買權,202208,47.0,28,0,9999.99
CCO,買權,202208,48.0,2,0,9999.99
CCO,買權,202208,49.0,0,0,nan
CCO,買權,202208,50.0,10,0,9999.99
CCO,買權,202208,52.5,0,0,nan
CCO,買權,202208,55.0,0,0,nan
CCO,賣權,202208,31.0,0,0,nan
CCO,賣權,202208,32.0,0,0,nan
CCO,賣權,202208,33.0,0,0,nan
CCO,賣權,202208,34.0,2,0,9999.99
CCO,賣權,202208,35.0,56,4,14.0
CCO,賣權,202208,36.0,112,2,56.0
CCO,賣權,202208,37.0,32,3,10.67
CCO,賣權,202208,38.0,38,0,9999.99
CCO,賣權,202208,39.0,12,0,9999.99
CCO,賣權,202208,40.0,78,8,9.75
CCO,賣權,202208,41.0,10,2,5.0
CCO,賣權,202208,42.0,0,0,nan
CCO,賣權,202208,43.0,0,0,nan
CCO,賣權,202208,44.0,0,0,nan
CCO,賣權,202208,45.0,0,0,nan
CCO,賣權,202208,46.0,10,0,9999.99
CCO,賣權,202208,47.0,0,0,nan
CCO,賣權,202208,48.0,0,0,nan
CCO,賣權,202208,49.0,0,0,nan
CCO,賣權,202208,50.0,0,0,nan
CCO,賣權,202208,52.5,0,0,nan
CCO,賣權,202208,55.0,0,0,nan
CCO,買權,202209,30.0,0,0,nan
CCO,買權,202209,32.0,0,0,nan
CCO,買權,202209,33.0,0,0,nan
CCO,買權,202209,34.0,0,0,nan
CCO,買權,202209,35.0,0,0,nan
CCO,買權,202209,36.0,0,0,nan
CCO,買權,202209,37.0,0,0,nan
CCO,買權,202209,38.0,0,0,nan
CCO,買權,202209,39.0,0,0,nan
CCO,買權,202209,40.0,0,0,nan
CCO,買權,202209,41.0,0,0,nan
CCO,買權,202209,42.0,0,0,nan
CCO,買權,202209,43.0,0,0,nan
CCO,買權,202209,44.0,0,0,nan
CCO,買權,202209,45.0,0,0,nan
CCO,買權,202209,46.0,8,0,9999.99
CCO,買權,202209,47.0,4,0,9999.99
CCO,買權,202209,48.0,0,0,nan
CCO,買權,202209,49.0,0,0,nan
CCO,買權,202209,50.0,0,0,nan
CCO,買權,202209,55.0,0,0,nan
CCO,賣權,202209,30.0,0,0,nan
CCO,賣權,202209,32.0,12,0,9999.99
CCO,賣權,202209,33.0,0,0,nan
CCO,賣權,202209,34.0,0,0,nan
CCO,賣權,202209,35.0,6,1,6.0
CCO,賣權,202209,36.0,0,0,nan
CCO,賣權,202209,37.0,0,0,nan
CCO,賣權,202209,38.0,0,0,nan
CCO,賣權,202209,39.0,0,0,nan
CCO,賣權,202209,40.0,0,0,nan
CCO,賣權,202209,41.0,0,0,nan
